id,name,age,income,openness,conscientiousness,extraversion,agreeableness,neuroticism,tolerance,matched_id,happiness
65215,rfkvim,21,1071.18,69.48,54.94,43.74,35.49,39.34,41.37,1125,73.16
97529,epsvop,40,2066.83,45.53,47.35,40.59,38.14,77.66,33.12,89529,55.5
9063,oscprp,33,685.69,61.72,57.2,52.56,58.88,47.48,24.33,43099,60.43
3643,zmjhqu,21,5837.52,54.04,62.17,41.94,41.75,57.76,16.5,24269,69.11
79301,epzlxj,35,5749.47,83.03,59.99,47.36,46.1,52.18,20.92,73161,77.64
2908,gmtubm,30,6576.84,51.05,69.24,40.68,42.48,58.26,24.37,59113,69.64
23231,kvcvec,35,3175.33,52.2,43.62,44.82,48.93,62.99,29.81,46579,63.56
21382,xbbvlg,41,4410.11,51.9,53.27,59.49,66.97,23.97,37.8,9578,76.99
72953,xkmfti,23,9348.6,44.95,53.96,61.52,42.77,55.8,34.76,44891,85.31
98314,effzmm,28,5345.78,55.2,41.87,59.03,71.15,39.01,24.03,74294,77.46
32651,pxnyml,16,3419.53,55.09,55.12,57.28,58.14,49.91,22.73,88726,75.38
28350,fxyrop,54,523.38,60.47,46.17,70.3,47.53,47.73,26.61,79924,60.06
97397,ymnomc,54,27633.7,48.41,54.86,42.07,55.75,49.73,28.17,,140.08
70805,ynqbyf,47,4638.05,45.54,57.04,51.57,60.88,66.43,28.99,64646,69.12
93936,zeaokc,19,3639.55,60.55,53.59,54.57,55.68,60.14,30.68,63439,79.26
67939,cqicgh,54,658.36,42.87,50.71,43.82,33.57,38.42,20.59,25011,45.52
6776,tpksjp,57,4346.35,45.54,69.33,52.21,43.42,33.4,18.52,9340,61.49
95921,cdkadn,46,1700.82,43.74,33.93,63.83,60.62,60.32,19.52,92348,53.84
1236,zfbcrr,51,448.38,65.14,58.33,41.94,48.98,39.95,29.59,53644,62.36
99973,lecszn,25,7120.86,50.28,51.11,38.24,51.58,43.4,32.61,84289,81.07
39416,tsvjsr,24,23227.96,56.25,40.5,45.89,22.05,55.92,25.79,,119.06
20482,vfszbm,38,363.64,75.82,40.75,53.69,53.08,72.56,19.37,36429,59.53
46900,dpmyil,40,4789.11,47.0,40.51,55.27,47.38,37.96,34.79,2195,68.16
46857,hwsdaz,44,16081.96,48.84,64.56,54.6,55.86,74.63,37.54,,107.37
54221,zfkkia,22,3944.76,40.6,45.82,57.29,26.63,63.91,32.28,70001,61.48
68844,luhwld,47,1906.15,47.25,41.84,68.83,60.31,33.27,29.06,39274,61.46
99920,irxnrd,57,2728.14,54.17,49.42,55.54,59.58,23.39,30.31,23571,71.97
33136,tdvvzm,41,3001.18,50.41,48.63,48.98,38.2,55.69,28.26,67334,57.52
96422,njiasy,60,4491.31,45.73,49.18,41.56,53.61,56.14,41.13,36246,80.37
27289,jjtpcz,17,589.87,44.79,59.15,56.58,56.47,49.65,41.92,3704,72.23
94447,slcggq,57,4098.09,51.76,47.36,49.57,41.2,53.39,25.84,76699,66.69
55625,itsvrs,30,2825.51,49.49,61.98,43.7,60.59,62.78,27.63,37742,65.41
79457,elsayd,34,3794.68,66.07,51.36,48.76,37.57,50.95,12.05,64175,57.42
47134,cnlxhg,19,1191.53,57.85,49.28,52.76,56.81,35.22,32.21,68972,72.07
28367,puhrkk,57,3439.35,55.55,52.18,64.61,49.38,53.14,31.93,85799,72.32
8204,unhcvm,57,2889.07,57.1,55.55,52.85,61.45,54.56,26.35,57225,71.97
53190,ravcrg,33,722.37,44.44,32.31,43.87,69.92,57.12,33.02,38005,62.12
72912,wdeffw,46,901.95,52.37,47.82,64.82,39.11,46.87,34.93,94166,56.8
98672,elasdp,23,6293.69,57.93,46.9,82.6,44.15,41.45,22.65,,74.87
76218,abhydk,57,4345.5,57.76,62.69,55.64,60.95,54.72,24.68,940,75.49
27778,nbitil,29,7485.07,48.53,45.65,57.83,42.52,47.27,29.24,856,74.56
24855,guhhqm,22,7978.4,56.92,57.52,46.33,33.86,47.48,19.32,73041,75.03
85215,jmjjgf,28,3736.14,39.92,57.23,49.49,46.22,54.96,34.9,48160,64.74
55067,eauxrp,35,4184.18,53.35,60.9,51.67,44.65,52.34,37.38,41962,69.99
51993,deyptg,58,3484.6,46.45,59.09,54.29,58.34,37.97,27.85,57213,70.06
88674,zvpbah,40,2205.26,57.5,42.38,51.73,50.68,74.38,13.84,25829,53.72
31282,uylyjy,58,3246.51,58.08,50.14,36.58,65.38,47.51,26.34,79959,75.39
67233,nzfayk,27,15842.48,49.25,40.72,64.36,44.78,82.94,34.39,,104.54
14964,ucyoyj,23,6349.89,41.94,39.55,30.63,34.75,55.75,28.64,72023,69.05
36403,eoznfr,19,22210.8,42.75,68.7,37.89,49.02,67.23,41.16,,131.7
22692,bmxebs,42,2241.48,53.69,32.91,48.69,56.52,52.08,21.63,25143,58.7
24116,jmaxqn,16,604.4,57.45,42.98,44.82,45.64,58.26,29.43,63115,67.69
59429,azyltm,32,941.91,31.79,39.41,60.07,62.74,52.24,28.45,41899,53.12
42103,gwgqix,55,7266.7,33.22,52.25,56.6,47.38,56.24,20.22,75345,66.28
49164,yukpge,53,6929.22,52.04,62.72,52.36,67.16,51.71,27.57,31822,82.19
39285,iizbup,22,1565.73,35.38,43.82,47.61,62.08,30.55,37.36,89999,66.49
91549,fpthng,35,6775.29,46.26,64.87,47.34,52.65,44.77,33.95,94099,75.53
26496,oqtxsq,29,449.71,53.15,39.42,51.28,57.35,47.89,25.66,6992,58.01
61830,duutof,55,1732.1,35.81,63.74,49.23,57.47,51.35,23.58,24343,55.85
21514,eqzipx,18,3824.14,44.11,33.33,54.65,54.92,28.27,37.81,93374,77.92
